slug,statut,categorie,nb_mots_total,nb_sources,nb_fantomes_p1,nb_fantomes_p2
reformes-economiques-allemagne-merz,erreur,,0,0,0,0
france-dette-publique-insoutenable,erreur,,0,0,0,0
seisme-venezuela-bilan-humain-economique,erreur,,0,0,0,0
congres-international-des-mathematiciens-2026,erreur,,0,0,0,0
